"Strain","Sex","Age","AgeDays","Treatment"
"BXD48a","F",0.829568788501027,303,"Control"
"BXD48a","F",0.829568788501027,303,"CD+DFP"
"BXD48a","M",0.829568788501027,303,"CD+DFP"
"BXD197","F",0.815879534565366,298,"Control"
"BXD197","F",0.815879534565366,298,"CD+DFP"
"BXD197","F",0.815879534565366,298,"CD+DFP"
"BXD197","M",0.815879534565366,298,"CD+DFP"
"BXD197","M",0.815879534565366,298,"CD+DFP"
"BXD197","M",0.815879534565366,298,"Control"
"BXD197","M",0.815879534565366,298,"Control"
"BXD151","F",0.832306639288159,304,"Control"
"BXD151","F",0.832306639288159,304,"CD+DFP"
"BXD151","F",0.832306639288159,304,"CD+DFP"
"BXD151","M",0.832306639288159,304,"Control"
"BXD151","M",0.832306639288159,304,"CD+DFP"
"BXD128a","F",0.818617385352498,299,"CD+DFP"
"BXD128a","M",0.818617385352498,299,"Control"
"BXD51","F",0.82135523613963,300,"Control"
"BXD51","F",0.82135523613963,300,"CD+DFP"
"BXD51","F",0.82135523613963,300,"Control"
"BXD51","F",0.82135523613963,300,"CD+DFP"
"BXD51","M",0.82135523613963,300,"Control"
"BXD51","M",0.82135523613963,300,"CD+DFP"
"BXD51","M",0.82135523613963,300,"Control"
"BXD51","M",0.82135523613963,300,"CD+DFP"
"BXD44","F",0.826830937713895,302,"Control"
"BXD44","F",0.826830937713895,302,"CD+DFP"
"BXD44","F",0.826830937713895,302,"Control"
"BXD44","F",0.826830937713895,302,"CD+DFP"
"BXD44","M",0.826830937713895,302,"CD+DFP"
"BXD44","M",0.826830937713895,302,"Control"
"BXD44","M",0.826830937713895,302,"CD+DFP"
"BXD44","M",0.826830937713895,302,"Control"
"BXD48a","F",0.818617385352498,299,"CD+DFP"
"BXD48a","M",0.818617385352498,299,"Control"
"BXD40","F",0.824093086926763,301,"Control"
"BXD102","M",0.815879534565366,298,"Control"
"BXD40","M",0.824093086926763,301,"CD+DFP"
"BXD40","M",0.824093086926763,301,"Control"
"BXD48","M",0.829568788501027,303,"Control"
"BXD50","M",0.826830937713895,302,"CD+DFP"
"BXD62","M",0.824093086926763,301,"Control"
"BXD62","M",0.824093086926763,301,"CD+DFP"
"BXD40","F",0.826830937713895,302,"CD+DFP"
"BXD40","F",0.826830937713895,302,"Control"
"BXD40","F",0.826830937713895,302,"CD+DFP"
"BXD40","M",0.826830937713895,302,"CD+DFP"
"BXD98","M",0.826830937713895,302,"CD+DFP"
"BXD98","M",0.826830937713895,302,"Control"
"BXD98","F",0.826830937713895,302,"Control"
"BXD98","F",0.826830937713895,302,"CD+DFP"
"BXD98","F",0.826830937713895,302,"Control"
"BXD98","F",0.826830937713895,302,"CD+DFP"
"BXD98","M",0.82135523613963,300,"Control"
"BXD98","M",0.82135523613963,300,"CD+DFP"
"BXD48","F",0.815879534565366,298,"Control"
"BXD48","F",0.815879534565366,298,"CD+DFP"
"BXD48","F",0.815879534565366,298,"Control"
"BXD48","F",0.815879534565366,298,"CD+DFP"
"BXD48","M",0.815879534565366,298,"CD+DFP"
"BXD48","M",0.815879534565366,298,"CD+DFP"
"BXD50","F",0.835044490075291,305,"Control"
"BXD50","F",0.835044490075291,305,"CD+DFP"
"BXD102","M",0.82135523613963,300,"CD+DFP"
"BXD151","F",0.832306639288159,304,"Control"
"BXD151","M",0.832306639288159,304,"Control"
"BXD128a","F",0.826830937713895,302,"CD+DFP"
"BXD128a","F",0.826830937713895,302,"Control"
"BXD128a","F",0.826830937713895,302,"Control"
"BXD128a","M",0.826830937713895,302,"Control"
"BXD128a","M",0.826830937713895,302,"CD+DFP"
"BXD128a","M",0.826830937713895,302,"CD+DFP"
"BXD197","F",0.826830937713895,302,"Control"
"BXD62","F",0.835044490075291,305,"Control"
"BXD62","F",0.835044490075291,305,"CD+DFP"
"BXD62","F",0.835044490075291,305,"CD+DFP"
"BXD62","M",0.835044490075291,305,"CD+DFP"
"BXD62","M",0.835044490075291,305,"Control"
