"gene_symbol","go_id","go_description","p_adjusted"
"Cyp2c55","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cbr1","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Tpmt","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp2c70","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp2c50","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Gstm4","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp2c29","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Gstm5","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp1b1","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp2f2","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Aox3","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp3a41a","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp2c68","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Aox4","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Ugt1a6b","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Fmo4","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp1a2","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Sult2a8","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Gstm2","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Sult2a4","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp2c54","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Sult2a3","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Ugt2a2","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp2c39","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp3a11","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp2e1","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp2c23","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Sult2a7","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Ugt2b34","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Gsta1","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Gstp2","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp3a41b","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Cyp2s1","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Gsto1","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
"Gsta4","GO:0006805","xenobiotic metabolic process",2.19300509613097e-121
