"gene_symbol","go_id","go_description","p_adjusted"
"Pten","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Cdh13","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Foxp2","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Myc","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Cav2","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Stat5a","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Drd2","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Cav1","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Apoe","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Cdkn2a","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Nf1","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Jun","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Wnt2","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Tnf","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Mtss1","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Stat3","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Cdkn2b","GO:0050678","regulation of epithelial cell proliferation",8.15497570939656e-12
"Pten","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Cdh13","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Myc","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Cav2","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Cav1","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Apoe","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Nf1","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Jun","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Wnt2","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Tnf","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Ncam1","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Stat3","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Ppargc1a","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Stat5b","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Trib1","GO:0033002","muscle cell proliferation",8.15497570939656e-12
"Cdh13","GO:0001935","endothelial cell proliferation",3.80515940499219e-09
"Cav2","GO:0001935","endothelial cell proliferation",3.80515940499219e-09
"Stat5a","GO:0001935","endothelial cell proliferation",3.80515940499219e-09
"Cav1","GO:0001935","endothelial cell proliferation",3.80515940499219e-09
"Apoe","GO:0001935","endothelial cell proliferation",3.80515940499219e-09
"Apoa1","GO:0001935","endothelial cell proliferation",3.80515940499219e-09
"Nf1","GO:0001935","endothelial cell proliferation",3.80515940499219e-09
"Jun","GO:0001935","endothelial cell proliferation",3.80515940499219e-09
"Wnt2","GO:0001935","endothelial cell proliferation",3.80515940499219e-09
"Tnf","GO:0001935","endothelial cell proliferation",3.80515940499219e-09
"Stat3","GO:0001935","endothelial cell proliferation",3.80515940499219e-09
"Pten","GO:0001666","response to hypoxia",1.16143020683251e-08
"Daxx","GO:0001666","response to hypoxia",1.16143020683251e-08
"Myc","GO:0001666","response to hypoxia",1.16143020683251e-08
"Sod3","GO:0001666","response to hypoxia",1.16143020683251e-08
"Lta","GO:0001666","response to hypoxia",1.16143020683251e-08
"Drd2","GO:0001666","response to hypoxia",1.16143020683251e-08
"Cav1","GO:0001666","response to hypoxia",1.16143020683251e-08
"Slc2a1","GO:0001666","response to hypoxia",1.16143020683251e-08
"Nf1","GO:0001666","response to hypoxia",1.16143020683251e-08
"Jun","GO:0001666","response to hypoxia",1.16143020683251e-08
"Nos2","GO:0001666","response to hypoxia",1.16143020683251e-08
"Stat3","GO:0001666","response to hypoxia",1.16143020683251e-08
"Ndrg1","GO:0001666","response to hypoxia",1.16143020683251e-08
"Pten","GO:0048660","regulation of smooth muscle cell proliferation",1.16143020683251e-08
"Cdh13","GO:0048660","regulation of smooth muscle cell proliferation",1.16143020683251e-08
"Myc","GO:0048660","regulation of smooth muscle cell proliferation",1.16143020683251e-08
"Cav1","GO:0048660","regulation of smooth muscle cell proliferation",1.16143020683251e-08
"Apoe","GO:0048660","regulation of smooth muscle cell proliferation",1.16143020683251e-08
"Nf1","GO:0048660","regulation of smooth muscle cell proliferation",1.16143020683251e-08
"Jun","GO:0048660","regulation of smooth muscle cell proliferation",1.16143020683251e-08
"Tnf","GO:0048660","regulation of smooth muscle cell proliferation",1.16143020683251e-08
"Ppargc1a","GO:0048660","regulation of smooth muscle cell proliferation",1.16143020683251e-08
"Stat5b","GO:0048660","regulation of smooth muscle cell proliferation",1.16143020683251e-08
"Trib1","GO:0048660","regulation of smooth muscle cell proliferation",1.16143020683251e-08
"Cdh13","GO:0001936","regulation of endothelial cell proliferation",1.22447657268445e-08
