"gene_symbol","go_id","go_description","p_adjusted"
"Cdh1","GO:0045121","membrane raft",5.41809132622613e-10
"Hspa1a","GO:0045121","membrane raft",5.41809132622613e-10
"Hspa1b","GO:0045121","membrane raft",5.41809132622613e-10
"Mapt","GO:0045121","membrane raft",5.41809132622613e-10
"Cdh2","GO:0045121","membrane raft",5.41809132622613e-10
"Nos3","GO:0045121","membrane raft",5.41809132622613e-10
"Chrna3","GO:0045121","membrane raft",5.41809132622613e-10
"Hmox1","GO:0045121","membrane raft",5.41809132622613e-10
"Psen1","GO:0045121","membrane raft",5.41809132622613e-10
"Arc","GO:0045121","membrane raft",5.41809132622613e-10
"Itgb1","GO:0045121","membrane raft",5.41809132622613e-10
"Cav1","GO:0045121","membrane raft",5.41809132622613e-10
"Tnf","GO:0045121","membrane raft",5.41809132622613e-10
"Prnp","GO:0045121","membrane raft",5.41809132622613e-10
"Tlr2","GO:0045121","membrane raft",5.41809132622613e-10
"Drd1","GO:0045121","membrane raft",5.41809132622613e-10
"Cdh1","GO:0098857","membrane microdomain",5.41809132622613e-10
"Hspa1a","GO:0098857","membrane microdomain",5.41809132622613e-10
"Hspa1b","GO:0098857","membrane microdomain",5.41809132622613e-10
"Mapt","GO:0098857","membrane microdomain",5.41809132622613e-10
"Cdh2","GO:0098857","membrane microdomain",5.41809132622613e-10
"Nos3","GO:0098857","membrane microdomain",5.41809132622613e-10
"Chrna3","GO:0098857","membrane microdomain",5.41809132622613e-10
"Hmox1","GO:0098857","membrane microdomain",5.41809132622613e-10
"Psen1","GO:0098857","membrane microdomain",5.41809132622613e-10
"Arc","GO:0098857","membrane microdomain",5.41809132622613e-10
"Itgb1","GO:0098857","membrane microdomain",5.41809132622613e-10
"Cav1","GO:0098857","membrane microdomain",5.41809132622613e-10
"Tnf","GO:0098857","membrane microdomain",5.41809132622613e-10
"Prnp","GO:0098857","membrane microdomain",5.41809132622613e-10
"Tlr2","GO:0098857","membrane microdomain",5.41809132622613e-10
