"gene_symbol","go_id","go_description","p_adjusted"
"Akr1c21","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp1b1","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c67","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp3a44","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp3a59","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c39","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp3a57","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Fmo4","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c50","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Hmox2","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Fmo9","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Fmo6","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp3a13","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp3a41a","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Fmo3","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp1a1","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Fmo13","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c70","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Miox","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c38","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp3a16","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c37","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c54","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp3a41b","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp3a25","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c68","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Hmox1","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2e1","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c23","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp1a2","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c40","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Fmo5","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Fmo2","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Fmo1","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c66","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c65","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c69","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2f2","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2s1","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c29","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp2c55","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Gm4847","GO:0004497","monooxygenase activity",1.18411667941595e-48
"Cyp3a11","GO:0004497","monooxygenase activity",1.18411667941595e-48
