"gene_symbol","go_id","go_description","p_adjusted"
"Daxx","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",1.7225299722044e-05
"Foxp2","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",1.7225299722044e-05
"Hspa1a","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",1.7225299722044e-05
"Cdkn2a","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",1.7225299722044e-05
"Jun","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",1.7225299722044e-05
"Stat3","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",1.7225299722044e-05
"Hspa1b","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",1.7225299722044e-05
"Ppargc1a","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",1.7225299722044e-05
"Stat5b","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",1.7225299722044e-05
"Cdkn2b","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",1.7225299722044e-05
"Trib1","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",1.7225299722044e-05
"Daxx","GO:0031625","ubiquitin protein ligase binding",0.000312492359493438
"Myc","GO:0031625","ubiquitin protein ligase binding",0.000312492359493438
"Wfs1","GO:0031625","ubiquitin protein ligase binding",0.000312492359493438
"Hspa1a","GO:0031625","ubiquitin protein ligase binding",0.000312492359493438
"Jun","GO:0031625","ubiquitin protein ligase binding",0.000312492359493438
"Hspa1b","GO:0031625","ubiquitin protein ligase binding",0.000312492359493438
"Ppargc1a","GO:0031625","ubiquitin protein ligase binding",0.000312492359493438
"Mc4r","GO:0031625","ubiquitin protein ligase binding",0.000312492359493438
"Trib1","GO:0031625","ubiquitin protein ligase binding",0.000312492359493438
"Daxx","GO:0044389","ubiquitin-like protein ligase binding",0.000315858416213417
"Myc","GO:0044389","ubiquitin-like protein ligase binding",0.000315858416213417
"Wfs1","GO:0044389","ubiquitin-like protein ligase binding",0.000315858416213417
"Hspa1a","GO:0044389","ubiquitin-like protein ligase binding",0.000315858416213417
"Jun","GO:0044389","ubiquitin-like protein ligase binding",0.000315858416213417
"Hspa1b","GO:0044389","ubiquitin-like protein ligase binding",0.000315858416213417
"Ppargc1a","GO:0044389","ubiquitin-like protein ligase binding",0.000315858416213417
"Mc4r","GO:0044389","ubiquitin-like protein ligase binding",0.000315858416213417
"Trib1","GO:0044389","ubiquitin-like protein ligase binding",0.000315858416213417
"Cdh13","GO:0071813","lipoprotein particle binding",0.00043783056299737
"Apoe","GO:0071813","lipoprotein particle binding",0.00043783056299737
"Apoa1","GO:0071813","lipoprotein particle binding",0.00043783056299737
"Pon1","GO:0071813","lipoprotein particle binding",0.00043783056299737
"Cdh13","GO:0071814","protein-lipid complex binding",0.00043783056299737
"Apoe","GO:0071814","protein-lipid complex binding",0.00043783056299737
"Apoa1","GO:0071814","protein-lipid complex binding",0.00043783056299737
"Pon1","GO:0071814","protein-lipid complex binding",0.00043783056299737
"Hspa1a","GO:0051059","NF-kappaB binding",0.000663491165562171
"Cdkn2a","GO:0051059","NF-kappaB binding",0.000663491165562171
"Hspa1b","GO:0051059","NF-kappaB binding",0.000663491165562171
"Cdkn2b","GO:0051059","NF-kappaB binding",0.000663491165562171
"Hspa1a","GO:0097718","disordered domain specific binding",0.000663491165562171
"Cdkn2a","GO:0097718","disordered domain specific binding",0.000663491165562171
"Bcl2l2","GO:0097718","disordered domain specific binding",0.000663491165562171
"Cdkn2b","GO:0097718","disordered domain specific binding",0.000663491165562171
"Pten","GO:0055106","ubiquitin-protein transferase regulator activity",0.00108886555878922
"Cdkn2a","GO:0055106","ubiquitin-protein transferase regulator activity",0.00108886555878922
"Cdkn2b","GO:0055106","ubiquitin-protein transferase regulator activity",0.00108886555878922
"Trib1","GO:0055106","ubiquitin-protein transferase regulator activity",0.00108886555878922
"Slc15a1","GO:0016248","channel inhibitor activity",0.00211909431889398
"Cftr","GO:0016248","channel inhibitor activity",0.00211909431889398
"Cav1","GO:0016248","channel inhibitor activity",0.00211909431889398
"Nedd4l","GO:0016248","channel inhibitor activity",0.00211909431889398
"Slc15a1","GO:0141110","transporter inhibitor activity",0.00258034949696334
"Cftr","GO:0141110","transporter inhibitor activity",0.00258034949696334
"Cav1","GO:0141110","transporter inhibitor activity",0.00258034949696334
"Nedd4l","GO:0141110","transporter inhibitor activity",0.00258034949696334
"Pten","GO:0008013","beta-catenin binding",0.00272725175618311
"Cdh13","GO:0008013","beta-catenin binding",0.00272725175618311
"Met","GO:0008013","beta-catenin binding",0.00272725175618311
"Sufu","GO:0008013","beta-catenin binding",0.00272725175618311
"Nos2","GO:0008013","beta-catenin binding",0.00272725175618311
"Nqo1","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",0.00433543566289158
"Cbr3","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",0.00433543566289158
"Cbr1","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",0.00433543566289158
"Apoe","GO:0120020","cholesterol transfer activity",0.00456419619409243
"Apoa1","GO:0120020","cholesterol transfer activity",0.00456419619409243
"Apoa4","GO:0120020","cholesterol transfer activity",0.00456419619409243
"Apoe","GO:0120015","sterol transfer activity",0.00680331906742986
"Apoa1","GO:0120015","sterol transfer activity",0.00680331906742986
