"gene_entrez_id","gene_symbol","pathway_id","pathway_description","p_adjusted"
"226519","Lamc1","mmu05145","Toxoplasmosis",2.14995813003374e-14
"21808","Tgfb2","mmu05145","Toxoplasmosis",2.14995813003374e-14
"24088","Tlr2","mmu05145","Toxoplasmosis",2.14995813003374e-14
"21898","Tlr4","mmu05145","Toxoplasmosis",2.14995813003374e-14
"12367","Casp3","mmu05145","Toxoplasmosis",2.14995813003374e-14
"16412","Itgb1","mmu05145","Toxoplasmosis",2.14995813003374e-14
"18126","Nos2","mmu05145","Toxoplasmosis",2.14995813003374e-14
"20848","Stat3","mmu05145","Toxoplasmosis",2.14995813003374e-14
"11651","Akt1","mmu05145","Toxoplasmosis",2.14995813003374e-14
"14960","H2-Aa","mmu05145","Toxoplasmosis",2.14995813003374e-14
"14961","H2-Ab1","mmu05145","Toxoplasmosis",2.14995813003374e-14
"14969","H2-Eb1","mmu05145","Toxoplasmosis",2.14995813003374e-14
"100504404","H2-Ea","mmu05145","Toxoplasmosis",2.14995813003374e-14
"21926","Tnf","mmu05145","Toxoplasmosis",2.14995813003374e-14
"193740","Hspa1a","mmu05145","Toxoplasmosis",2.14995813003374e-14
"15511","Hspa1b","mmu05145","Toxoplasmosis",2.14995813003374e-14
"26416","Mapk14","mmu05145","Toxoplasmosis",2.14995813003374e-14
"21808","Tgfb2","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"24088","Tlr2","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"21898","Tlr4","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"56717","Mtor","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"12389","Cav1","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"16653","Kras","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"16439","Itpr2","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"12367","Casp3","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"16412","Itgb1","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"20848","Stat3","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"11651","Akt1","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"14368","Fzd6","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"14083","Ptk2","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"21926","Tnf","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"26416","Mapk14","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"12575","Cdkn1a","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"22339","Vegfa","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"19877","Rock1","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"12322","Camk2a","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"17126","Smad2","mmu05205","Proteoglycans in cancer",1.7031806760687e-13
"21808","Tgfb2","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"56458","Foxo1","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"16193","Il6","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"18127","Nos3","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"16653","Kras","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"12028","Bax","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"12367","Casp3","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"20296","Ccl2","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"20848","Stat3","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"11651","Akt1","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"21926","Tnf","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"11596","Ager","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"26416","Mapk14","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"22339","Vegfa","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"17126","Smad2","mmu04933","AGE-RAGE signaling pathway in diabetic complications",1.18580520568593e-12
"18024","Nfe2l2","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"24088","Tlr2","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"21898","Tlr4","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"16193","Il6","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"18127","Nos3","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"16653","Kras","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"12028","Bax","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"12367","Casp3","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"20296","Ccl2","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"20848","Stat3","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"11651","Akt1","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"14083","Ptk2","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"21926","Tnf","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"193740","Hspa1a","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"15511","Hspa1b","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"11596","Ager","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"20656","Sod2","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"26416","Mapk14","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"12322","Camk2a","mmu05417","Lipid and atherosclerosis",3.89606278621104e-12
"21808","Tgfb2","mmu05152","Tuberculosis",2.24660905876452e-11
"24088","Tlr2","mmu05152","Tuberculosis",2.24660905876452e-11
"21898","Tlr4","mmu05152","Tuberculosis",2.24660905876452e-11
"16193","Il6","mmu05152","Tuberculosis",2.24660905876452e-11
"12028","Bax","mmu05152","Tuberculosis",2.24660905876452e-11
"12367","Casp3","mmu05152","Tuberculosis",2.24660905876452e-11
"18126","Nos2","mmu05152","Tuberculosis",2.24660905876452e-11
"11651","Akt1","mmu05152","Tuberculosis",2.24660905876452e-11
"20963","Syk","mmu05152","Tuberculosis",2.24660905876452e-11
"14960","H2-Aa","mmu05152","Tuberculosis",2.24660905876452e-11
"14961","H2-Ab1","mmu05152","Tuberculosis",2.24660905876452e-11
"14969","H2-Eb1","mmu05152","Tuberculosis",2.24660905876452e-11
"100504404","H2-Ea","mmu05152","Tuberculosis",2.24660905876452e-11
"21926","Tnf","mmu05152","Tuberculosis",2.24660905876452e-11
"26416","Mapk14","mmu05152","Tuberculosis",2.24660905876452e-11
"16149","Cd74","mmu05152","Tuberculosis",2.24660905876452e-11
"12322","Camk2a","mmu05152","Tuberculosis",2.24660905876452e-11
"24088","Tlr2","mmu05168","Herpes simplex virus 1 infection",2.51810332346665e-10
"56717","Mtor","mmu05168","Herpes simplex virus 1 infection",2.51810332346665e-10
"16193","Il6","mmu05168","Herpes simplex virus 1 infection",2.51810332346665e-10
