"uniprotswissprot","uniprotsptrembl","entrezgene_id","external_gene_name"
"A2AJL3","",75578,"Fggy"
"D3YUG0","",75015,"Samd13"
"G3X9Z4","",74737,"Pcf11"
"O35730","",19763,"Ring1"
"P10761","",22788,"Zp3"
"P70225","",16158,"Il11ra2"
"P70225","",100042555,"Il11ra3"
"P70325","",21387,"Tbx4"
"Q02566","B2RQQ1",17888,"Myh6"
"Q0P5V9","",106068,"Slc45a4"
"Q2UY11","",213945,"Col28a1"
"Q5SV77","",217039,"Ggnbp2"
"Q5SWU9","",107476,"Acaca"
"Q60805","",17289,"Mertk"
"Q61510","",217069,"Trim25"
"Q62452","",394434,"Ugt1a9"
"Q64378","Q4FJN2",14229,"Fkbp5"
"Q64385","",16157,"Il11ra1"
"Q64435","",394432,"Ugt1a7c"
"Q64435","",94284,"Ugt1a6a"
"Q64487","",19266,"Ptprd"
"Q69Z38","",244895,"Peak1"
"Q6P5G0","",225724,"Mapk4"
"Q6TYB5","Q3U049",225020,"Fez2"
"Q6ZQM8","",394432,"Ugt1a7c"
"Q78TU8","",268709,"Fam107a"
"Q80XI7","",71425,"Bpifb9a"
"Q811B5","",75210,"Prr3"
"Q8BG94","Q56A13",99311,"Commd7"
"Q8BUR4","",330662,"Dock1"
"Q8BYK5","",74189,"Phactr3"
"Q8BYK5","Q6KCA9",74189,"Phactr3"
"Q8CIV7","",107586,"Ovol2"
"Q8K120","",73181,"Nfatc4"
"Q8K2Q2","",68214,"Gsto2"
"Q8K2X3","",108689,"Stn1"
"Q8VEN2","",76509,"Plet1"
"Q9CQI3","",63985,"Gmfb"
"Q9CXP8","",14700,"Gng10"
"Q9D8B3","",75608,"Chmp4b"
"Q9ERD6","",78255,"Ralgps2"
"Q9JHG6","",54720,"Rcan1"
"Q9JHG6","Q542V6",54720,"Rcan1"
"Q9JIF0","Q3UIG8",15469,"Prmt1"
"Q9JIF0","",15469,"Prmt1"
"Q9JMH3","Q0VGI4",23956,"Neu2"
"Q9QX96","",50524,"Sall2"
"Q9QY84","",11470,"Actl7a"
"Q9Z1G4","",11975,"Atp6v0a1"
