#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Aif1	Ccl2	10090.ENSMUSP00000133709	10090.ENSMUSP00000000193	0	0	0	0	0.180	0	0	0.696	0.740
Aif1	Ccl3	10090.ENSMUSP00000133709	10090.ENSMUSP00000001008	0	0	0	0	0.101	0	0	0.541	0.570
Aif1	Slc1a3	10090.ENSMUSP00000133709	10090.ENSMUSP00000005493	0	0	0	0	0.048	0	0	0.530	0.533
Aif1	Hmox1	10090.ENSMUSP00000133709	10090.ENSMUSP00000005548	0	0	0	0	0.049	0.053	0	0.527	0.536
Aif1	Cd68	10090.ENSMUSP00000133709	10090.ENSMUSP00000018918	0	0	0	0	0.164	0	0	0.871	0.887
Aif1	Tnf	10090.ENSMUSP00000133709	10090.ENSMUSP00000025263	0	0	0	0	0.128	0.059	0	0.825	0.844
Aif1	Il6	10090.ENSMUSP00000133709	10090.ENSMUSP00000026845	0	0	0	0	0.061	0	0	0.802	0.806
Aif1	Il1b	10090.ENSMUSP00000133709	10090.ENSMUSP00000028881	0	0	0	0	0.197	0	0	0.868	0.890
Aif1	Plp1	10090.ENSMUSP00000133709	10090.ENSMUSP00000033800	0	0	0	0	0	0	0	0.456	0.456
Aif1	Mbp	10090.ENSMUSP00000133709	10090.ENSMUSP00000046185	0	0	0	0	0	0.100	0	0.782	0.795
Aif1	Cxcl10	10090.ENSMUSP00000133709	10090.ENSMUSP00000047646	0	0	0	0	0.170	0	0	0.531	0.594
Aif1	Cd14	10090.ENSMUSP00000133709	10090.ENSMUSP00000056669	0	0	0	0	0.105	0.101	0	0.382	0.460
Aif1	Gfap	10090.ENSMUSP00000133709	10090.ENSMUSP00000064691	0	0	0	0	0.050	0	0	0.928	0.929
Aif1	Tmem119	10090.ENSMUSP00000133709	10090.ENSMUSP00000070551	0	0	0	0	0.070	0	0	0.796	0.802
Aif1	Aqp4	10090.ENSMUSP00000133709	10090.ENSMUSP00000078088	0	0	0	0	0.068	0.138	0	0.659	0.702
Aif1	Slc1a2	10090.ENSMUSP00000133709	10090.ENSMUSP00000079100	0	0	0	0	0	0	0	0.583	0.583
